File A,File B,Similarity,n
UCSB37,NotreDame57,1.0761099310824002e+29,7.0
UCSB37,NotreDame57,6.238911770479534e+32,8.0
UCSB37,Wisconsin87,704501839600000.0,3.0
UCSB37,Wisconsin87,-3.4554444677e+17,4.0
UCSB37,Wisconsin87,3.193141749571e+22,5.0
UCSB37,Wisconsin87,3.0289095941549e+26,6.0
UCSB37,Wisconsin87,2.090229152315138e+31,7.0
UCSB37,Texas80,1094670839050000.0,3.0
UCSB37,Texas80,9.39782316513e+17,4.0
UCSB37,Texas80,9.5352074979e+21,5.0
UCSB37,Texas80,8.391718721371001e+24,6.0
UCSB37,Texas80,3.1206582254012404e+29,7.0
UCSB37,Howard90,219908227180000.0,3.0
UCSB37,Howard90,3.32372319732e+17,4.0
UCSB37,Howard90,2.46249128937e+21,5.0
UCSB37,Howard90,3.407511312762e+24,6.0
UCSB37,Howard90,4.6505204963412e+28,7.0
UCSB37,Howard90,1.3212112764504665e+32,8.0
UCSB37,JMU79,363510824320000.0,3.0
UCSB37,JMU79,-4.8753668991e+16,4.0
UCSB37,JMU79,1.297866737341e+22,5.0
UCSB37,JMU79,1.29062404702478e+26,6.0
UCSB37,JMU79,8.00551264239905e+30,7.0
UCSB37,JMU79,2.5797661576134995e+35,8.0
UCSB37,Mississippi66,789677509330000.0,3.0
UCSB37,Mississippi66,1.18573557098e+18,4.0
UCSB37,Mississippi66,1.3207316904e+22,5.0
UCSB37,Mississippi66,1.671592493697e+25,6.0
UCSB37,Mississippi66,4.5428638006139995e+29,7.0
UCSB37,Mississippi66,2.2948696426030792e+33,8.0
UCSB37,Simmons81,13766564058900.0,3.0
UCSB37,Simmons81,1.032493923508e+16,4.0
UCSB37,Simmons81,2.5707149952e+19,5.0
UCSB37,Simmons81,1.6728311599574001e+22,6.0
UCSB37,Simmons81,6.976944935174e+25,7.0
UCSB37,Simmons81,1.8018153189802203e+28,8.0
UCSB37,Colgate88,120095975391000.0,3.0
UCSB37,Colgate88,1.81079346645e+17,4.0
UCSB37,Colgate88,8.695701647700001e+20,5.0
UCSB37,Colgate88,1.1496187760372e+24,6.0
UCSB37,Colgate88,9.174684947984e+27,7.0
UCSB37,Colgate88,6.17662547748168e+30,8.0
UCSB37,Santa74,125287323688000.0,3.0
UCSB37,Santa74,1.65994665368e+17,4.0
UCSB37,Santa74,9.4969067605e+20,5.0
UCSB37,Santa74,1.363070621843e+24,6.0
UCSB37,Santa74,1.563291656417e+28,7.0
UCSB37,Santa74,7.19288173159347e+31,8.0
UCSB37,Temple83,256127709940000.0,3.0
UCSB37,Temple83,5.6837815995e+16,4.0
UCSB37,Temple83,1.8801913881599997e+21,5.0
UCSB37,Temple83,3.0577541971029997e+24,6.0
UCSB37,Temple83,9.175527546376997e+28,7.0
UCSB37,Temple83,9.920351940338478e+32,8.0
UCSB37,Texas84,1951944741700000.0,3.0
UCSB37,Texas84,-4.92006977632e+18,4.0
UCSB37,Texas84,3.545896568733e+23,5.0
UCSB37,Texas84,5.76310957952669e+27,6.0
UCSB37,Texas84,7.39974990684571e+32,7.0
UCSB37,Oklahoma97,1126117985390000.0,3.0
UCSB37,Oklahoma97,9.96080084031e+17,4.0
UCSB37,Oklahoma97,2.35032474788e+22,5.0
UCSB37,Oklahoma97,7.4550758598909995e+25,6.0
UCSB37,Oklahoma97,3.7584451950804996e+30,7.0
UCSB37,Oklahoma97,8.101526021583799e+34,8.0
UCSB37,Wellesley22,61125644841000.0,3.0
UCSB37,Wellesley22,5.9448759478e+16,4.0
UCSB37,Wellesley22,2.64782160128e+20,5.0
UCSB37,Wellesley22,2.4232598182950002e+23,6.0
UCSB37,Wellesley22,1.9544968984574998e+27,7.0
UCSB37,Wellesley22,3.8522400620079765e+30,8.0
UCSB37,Michigan23,1082921132380000.0,3.0
UCSB37,Michigan23,8.25248077721e+17,4.0
UCSB37,Michigan23,1.1375971542e+22,5.0
UCSB37,Michigan23,1.6174255018564001e+25,6.0
UCSB37,Michigan23,6.781192026084999e+29,7.0
UCSB37,Northeastern19,227504781280000.0,3.0
UCSB37,Northeastern19,1.60008816504e+17,4.0
UCSB37,Northeastern19,9.1847403392e+20,5.0
UCSB37,Northeastern19,7.84349430137e+23,6.0
UCSB37,Northeastern19,1.1912649186126602e+28,7.0
UCSB37,Northeastern19,5.83618261719407e+31,8.0
UCSB37,Northwestern25,477725292460000.0,3.0
UCSB37,Northwestern25,5.53685220616e+17,4.0
UCSB37,Northwestern25,6.68253178569e+21,5.0
UCSB37,Northwestern25,2.0393105464002e+25,6.0
UCSB37,Northwestern25,6.5777033419965e+29,7.0
UCSB37,Northwestern25,1.1700678068820285e+34,8.0
UCSB37,Georgetown15,393131840380000.0,3.0
UCSB37,Georgetown15,5.20317924707e+17,4.0
UCSB37,Georgetown15,3.57946710045e+21,5.0
UCSB37,Georgetown15,4.48668680914e+24,6.0
UCSB37,Georgetown15,6.487853644901001e+28,7.0
UCSB37,Georgetown15,2.3425677528677028e+32,8.0
UCSB37,UCLA26,623154019880000.0,3.0
UCSB37,UCLA26,6.04375054203e+17,4.0
UCSB37,UCLA26,4.10133173007e+21,5.0
UCSB37,UCLA26,3.251388020556e+24,6.0
UCSB37,UCLA26,5.3172598833019995e+28,7.0
UCSB37,UCLA26,1.5429035669260573e+32,8.0
UCSB37,Cornell5,786259984140000.0,3.0
UCSB37,Cornell5,1.7917962011e+17,4.0
UCSB37,Cornell5,2.259299775695e+22,5.0
UCSB37,Cornell5,1.6103722920427002e+26,6.0
UCSB37,Cornell5,9.372107434832608e+30,7.0
UCSB37,Cornell5,2.81698833248702e+35,8.0
UCSB37,UF21,1760526364860000.0,3.0
UCSB37,UF21,-7.65457729663e+18,4.0
UCSB37,UF21,6.072367037245e+23,5.0
UCSB37,UF21,1.5163780165923258e+28,6.0
UCSB37,UF21,2.5458099777329668e+33,7.0
UCSB37,William77,223416319560000.0,3.0
UCSB37,William77,2.54466798889e+17,4.0
UCSB37,William77,1.72679469619e+21,5.0
UCSB37,William77,2.2604458015209998e+24,6.0
UCSB37,William77,2.980295930378e+28,7.0
UCSB37,William77,1.3314880097154099e+32,8.0
UCSB37,Harvard1,1063979651500000.0,3.0
UCSB37,Harvard1,1.57111541206e+18,4.0
UCSB37,Harvard1,1.55537300025e+22,5.0
UCSB37,Harvard1,1.6168333551769997e+25,6.0
UCSB37,Harvard1,3.489958166027001e+29,7.0
UCSB37,Harvard1,2.7516293076667945e+32,8.0
UCSB37,Carnegie49,217342772900000.0,3.0
UCSB37,Carnegie49,2.04397938828e+17,4.0
UCSB37,Carnegie49,1.56730588565e+21,5.0
UCSB37,Carnegie49,9.82604321036e+23,6.0
UCSB37,Carnegie49,1.998830148066e+28,7.0
UCSB37,Carnegie49,2.497261042834031e+31,8.0
UCSB37,Vermont70,108246275150000.0,3.0
UCSB37,Vermont70,7.3988206255e+16,4.0
UCSB37,Vermont70,3.66266570325e+20,5.0
UCSB37,Vermont70,3.096116979922e+23,6.0
UCSB37,Vermont70,3.490842054502e+27,7.0
UCSB37,Vermont70,1.2896216786555132e+31,8.0
UCSB37,Bingham82,260402850970000.0,3.0
UCSB37,Bingham82,3.02292861807e+17,4.0
UCSB37,Bingham82,1.3859814459e+21,5.0
UCSB37,Bingham82,1.350658921136e+24,6.0
UCSB37,Bingham82,1.0546190540256e+28,7.0
UCSB37,Bingham82,4.189372955076692e+30,8.0
UCSB37,UChicago30,153214733295000.0,3.0
UCSB37,UChicago30,8.81676888639e+16,4.0
UCSB37,UChicago30,1.273914890115e+21,5.0
UCSB37,UChicago30,3.0823747098496e+24,6.0
UCSB37,UChicago30,1.07392301928594e+29,7.0
UCSB37,UChicago30,1.2667698764792192e+33,8.0
UCSB37,BC17,424804480540000.0,3.0
UCSB37,BC17,5.01834908153e+17,4.0
UCSB37,BC17,3.52661743588e+21,5.0
UCSB37,BC17,4.4212014447319995e+24,6.0
UCSB37,BC17,7.333430204139999e+28,7.0
