File A,File B,Iterations,Similarity,n
Brown11,Columbia2,1000.0,0.5215527704172395,5.0
Brown11,Dartmouth6,1000.0,0.998224956735492,5.0
Brown11,UMass92,1000.0,0.4774218470083294,5.0
Brown11,Tufts18,1000.0,0.9958427395534407,5.0
Brown11,Berkeley13,1000.0,0.5118835785467722,5.0
Brown11,Virginia63,1000.0,0.46298245111180764,5.0
Brown11,Pepperdine86,1000.0,0.9880043469684076,5.0
Brown11,Rutgers89,1000.0,0.8671983582435955,5.0
Brown11,Bucknell39,1000.0,0.9808233330527751,5.0
Wake73,MSU24,1000.0,0.5709936917805405,5.0
Wake73,Stanford3,1000.0,0.984670991401251,5.0
Wake73,Duke14,1000.0,0.9958967378248241,5.0
Wake73,UCSC68,1000.0,0.9611229101573691,5.0
Wake73,Rice31,1000.0,0.955256365802205,5.0
Wake73,Tulane29,1000.0,0.9991221014968527,5.0
Wake73,Lehigh96,1000.0,0.9955802961885467,5.0
Wake73,NYU9,1000.0,0.6870807593214495,5.0
Wake73,Penn94,1000.0,0.5937565409291977,5.0
Wake73,Syracuse56,1000.0,0.9855181683170354,5.0
Wake73,UC61,1000.0,0.9765963596253613,5.0
Wake73,Trinity100,1000.0,0.9496675478144387,5.0
Wake73,UCSD34,1000.0,0.6925263572912049,5.0
Wake73,Maine59,1000.0,0.986609732188624,5.0
Wake73,MIT8,1000.0,0.9766554934167846,5.0
Wake73,UGA50,1000.0,0.8607913000332936,5.0
Wake73,Brandeis99,1000.0,0.633083946900987,5.0
Wake73,UCF52,1000.0,0.5685186630866914,5.0
Wake73,UPenn7,1000.0,0.9994157671112031,5.0
Wake73,FSU53,1000.0,0.8332598190767604,5.0
Wake73,Caltech36,1000.0,0.9550264387799184,5.0
Wake73,Rochester38,1000.0,0.9611829311478248,5.0
Wake73,Oberlin44,1000.0,0.9770526822982919,5.0
Wake73,Vanderbilt48,1000.0,0.8988760510709649,5.0
Wake73,USF51,1000.0,0.9955330093788243,5.0
